Comment,Designator,Footprint,LCSC
1N4148WS,"D135,D16,D2,D23,D30,D315,D316,D317,D318,D319,D320,D321,D322,D323,D324,D325,D326,D327,D328,D329,D330,D331,D332,D333,D334,D335,D336,D337,D338,D339,D340,D341,D342,D343,D344,D345,D346,D347,D348,D349,D350,D351,D352,D353,D354,D355,D37,D44,D51,D58,D65,D80,D81,D82,D83,D84,D85,D86,D87,D88,D9",D_SOD-323,C2128
2.2uF,"C1069,C1093,C1117,C1141,C1165,C1189,C1213,C1237,C1261,C1285,C1309,C1333,C1357,C1381,C1405,C1429,C1453,C1477,C1501,C739",C_0603_1608Metric,C23630
4.7uF,"C261,C277,C293,C309,C325,C341,C357,C373,C38,C389,C405,C421,C437,C453,C469,C485,C501,C517,C533,C549",C_0402_1005Metric,C23733
100nF,"C1544,C2003,C2012,C2021,C2030,C2039,C2048,C2057,C2066,C2075,C2084,C2093,C2102,C2111,C2120",C_1206_3216Metric,C24497
3.3nF,"C249,C265,C281,C297,C313,C329,C345,C361,C377,C393,C409,C425,C441,C457,C473,C489,C5,C505,C521,C537",C_0402_1005Metric,C26404
8.2nF,"C1057,C1081,C1105,C1129,C1153,C1177,C1201,C1225,C1249,C1273,C1297,C1321,C1345,C1369,C1393,C1417,C1441,C1465,C1489,C740",C_0603_1608Metric,C27920
100nF ,"C1704,C1810,C1811,C1812,C1813,C1814,C1815,C1816,C1817,C1818,C1819,C1820,C1821,C1822,C1823",C_0805_2012Metric,C28233
2.2nF ,"C1696,C1733,C1734,C1735,C1736,C1737,C1738,C1739,C1740,C1741",C_0805_2012Metric,C28260
68pF,"C1009,C1020,C1031,C1042,C741,C954,C965,C976,C987,C998",C_0603_1608Metric,C28262
1uF ,"C1708,C1866,C1867,C1868,C1869,C1870,C1871,C1872,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C2126,C2127,C2128,C2129,C2130,C2131,C2132,C2133,C2134,C2135,C2136,C2137,C2138,C2139,C2140",C_0805_2012Metric,C28323
4.7uF,"C1550,C2007,C2016,C2025,C2034,C2043,C2052,C2061,C2070,C2079,C2088,C2097,C2106,C2115,C2124",C_1206_3216Metric,C29823
100nF,"C256,C272,C288,C304,C32,C320,C336,C352,C368,C384,C400,C416,C432,C448,C464,C480,C496,C512,C528,C544,C666,C667,C668,C669,C670,C671,C672,C673,C674,C675,C676,C677,C678,C679,C680,C681,C682,C683,C684,C685",C_0402_1005Metric,C307331
68nF,"C1063,C1087,C1111,C1135,C1159,C1183,C1207,C1231,C1255,C1279,C1303,C1327,C1351,C1375,C1399,C1423,C1447,C1471,C1495,C742",C_0603_1608Metric,C31658
10pF,"C116,C139,C16,C162,C185,C208,C231,C47,C551,C552,C553,C554,C555,C556,C557,C558,C559,C632,C70,C93",C_0402_1005Metric,C32949
1nF,"C1546,C2001,C2010,C2019,C2028,C2037,C2046,C2055,C2064,C2073,C2082,C2091,C2100,C2109,C2118",C_1206_3216Metric,C35216
6pF,"C743,C756,C761,C766,C771,C776,C781,C786,C791,C796",C_0603_1608Metric,C37474
12pF,"C744,C800,C808,C816,C824,C832,C840,C848,C856,C864,C872,C880,C888,C896,C904,C912,C920,C928,C936,C944",C_0603_1608Metric,C38523
56pF,"C1008,C1019,C1030,C1041,C745,C953,C964,C975,C986,C997",C_0603_1608Metric,C39148
US1M,"D100,D101,D102,D103,D104,D105,D106,D11,D137,D141,D142,D143,D144,D145,D146,D147,D148,D149,D150,D18,D25,D32,D39,D4,D46,D53,D60,D67,D98,D99",D_SMA,C412437
10uF ,"C1712,C1922,C1923,C1924,C1925,C1926,C1927,C1928,C1929,C1930,C1931,C1932,C1933,C1934,C1935",C_0805_2012Metric,C440198
22uF ,"C1713,C1936,C1937,C1938,C1939,C1940,C1941,C1942,C1943,C1944,C1945,C1946,C1947,C1948,C1949",C_0805_2012Metric,C45783
3pF,"C746,C754,C759,C764,C769,C774,C779,C784,C789,C794",C_0603_1608Metric,C46219
1nF ,"C1694,C1715,C1716,C1717,C1718,C1719,C1720,C1721,C1722,C1723",C_0805_2012Metric,C46653
470nF,"C258,C274,C290,C306,C322,C338,C34,C354,C370,C386,C402,C418,C434,C450,C466,C482,C498,C514,C530,C546",C_0402_1005Metric,C47339
2.2uF ,"C1709,C1880,C1881,C1882,C1883,C1884,C1885,C1886,C1887,C1888,C1889,C1890,C1891,C1892,C1893",C_0805_2012Metric,C49217
100nF ,"C1703,C1796,C1797,C1798,C1799,C1800,C1801,C1802,C1803,C1804,C1805,C1806,C1807,C1808,C1809",C_0805_2012Metric,C49678
2.2uF,"C1547,C2006,C2015,C2024,C2033,C2042,C2051,C2060,C2069,C2078,C2087,C2096,C2105,C2114,C2123",C_1206_3216Metric,C50254
1uF,"C259,C275,C291,C307,C323,C339,C35,C355,C371,C387,C403,C419,C435,C451,C467,C483,C499,C515,C531,C547,C686,C687,C688,C689,C690,C691,C692,C693,C694,C695,C696,C697,C698,C699,C700,C701,C702,C703,C704,C705",C_0402_1005Metric,C52923
47nF ,"C1702,C1787,C1788,C1789,C1790,C1791,C1792,C1793,C1794,C1795",C_0805_2012Metric,C53134
220nF ,"C1705,C1824,C1825,C1826,C1827,C1828,C1829,C1830,C1831,C1832,C1833,C1834,C1835,C1836,C1837",C_0805_2012Metric,C5378
4.7nF,"C1055,C1079,C1103,C1127,C1151,C1175,C1199,C1223,C1247,C1271,C1295,C1319,C1343,C1367,C1391,C1415,C1439,C1463,C1487,C747",C_0603_1608Metric,C53987
22uF,"C1554,C1964,C1968,C1972,C1976,C1980,C1984,C1988,C1992,C1996",C_1206_3216Metric,C5672
10nF,"C1058,C1082,C1106,C1130,C1154,C1178,C1202,C1226,C1250,C1274,C1298,C1322,C1346,C1370,C1394,C1418,C1442,C1466,C1490,C748",C_0603_1608Metric,C57112
22uF,"C1073,C1097,C1121,C1145,C1169,C1193,C1217,C1241,C1265,C1289,C1313,C1337,C1361,C1385,C1409,C1433,C1457,C1481,C1505,C749",C_0603_1608Metric,C59461
ZMM3V3-M,"D116,D117,D118,D119,D120,D121,D122,D123,D124,D13,D139,D151,D152,D153,D154,D155,D156,D157,D158,D159,D160,D20,D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D27,D34,D41,D48,D5,D55,D62,D69",D_MiniMELF,C8056
ZMM5V6-M,"D125,D126,D127,D128,D129,D130,D131,D132,D133,D14,D140,D161,D162,D163,D164,D165,D166,D167,D168,D169,D170,D171,D172,D173,D174,D175,D176,D177,D178,D179,D180,D181,D182,D183,D184,D185,D186,D187,D188,D189,D190,D191,D192,D193,D194,D195,D196,D197,D198,D199,D200,D21,D211,D212,D213,D214,D215,D216,D217,D218,D219,D220,D221,D222,D223,D224,D225,D226,D227,D228,D229,D230,D231,D232,D233,D234,D236,D237,D238,D28,D35,D42,D49,D56,D6,D63,D70",D_MiniMELF,C8062
1N4148W,"D10,D136,D17,D24,D246,D247,D248,D249,D250,D251,D252,D253,D278,D279,D280,D281,D282,D283,D284,D285,D286,D287,D288,D289,D290,D291,D292,D293,D294,D295,D296,D297,D298,D299,D3,D300,D301,D302,D303,D304,D305,D306,D307,D308,D309,D31,D310,D311,D312,D313,D314,D38,D45,D52,D59,D66,D89,D90,D91,D92,D93,D94,D95,D96,D97",D_SOD-123,C81598
1nF,"C1543,C2000,C2009,C2018,C2027,C2036,C2045,C2054,C2063,C2072,C2081,C2090,C2099,C2108,C2117",C_1206_3216Metric,C9196
47uF,"C1553,C1966,C1970,C1974,C1978,C1982,C1986,C1990,C1994,C1998",C_1206_3216Metric,C96123
10uF,"C1072,C1096,C1120,C1144,C1168,C1192,C1216,C1240,C1264,C1288,C1312,C1336,C1360,C1384,C1408,C1432,C1456,C1480,C1504,C750",C_0603_1608Metric,C96446
LL4148,"D1,D134,D15,D22,D235,D239,D240,D241,D242,D243,D244,D245,D254,D255,D256,D257,D258,D259,D260,D261,D262,D263,D264,D265,D266,D267,D268,D269,D270,D271,D272,D273,D274,D275,D276,D277,D29,D36,D43,D50,D57,D64,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8",D_MiniMELF,C9808
