Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1061,33nF,C_0603_1608Metric,19.530897,94.907955,0.0,top
C1062,47nF,C_0603_1608Metric,31.595897,94.911955,0.0,top
C1063,68nF,C_0603_1608Metric,43.660897,94.911955,0.0,top
C1064,100nF,C_0603_1608Metric,55.725897,94.911955,0.0,top
C1065,220nF,C_0603_1608Metric,67.663897,94.911955,0.0,top
C1066,330nF,C_0603_1608Metric,79.829897,94.907955,0.0,top
C1067,470nF,C_0603_1608Metric,91.793897,94.907955,0.0,top
C1068,1uF,C_0603_1608Metric,19.504897,85.814755,0.0,top
C1069,2.2uF,C_0603_1608Metric,31.582897,85.814755,0.0,top
C1070,4.7uF,C_0603_1608Metric,43.660897,85.814755,0.0,top
C1071,10uF,C_0603_1608Metric,55.725897,85.814755,0.0,top
C1072,10uF,C_0603_1608Metric,67.790897,85.814755,0.0,top
C1073,22uF,C_0603_1608Metric,79.855897,85.814755,0.0,top
C1074,1nF,C_0603_1608Metric,56.030697,111.593355,0.0,top
C1075,1.5nF,C_0603_1608Metric,68.171897,111.593355,0.0,top
C1076,2.2nF,C_0603_1608Metric,80.313097,111.593355,0.0,top
C1077,2.7nF,C_0603_1608Metric,92.454297,111.593355,0.0,top
C1078,3.3nF,C_0603_1608Metric,19.543297,102.451755,0.0,top
C1079,4.7nF,C_0603_1608Metric,31.595897,102.451755,0.0,top
C1080,6.8nF,C_0603_1608Metric,43.686297,102.451755,0.0,top
C1081,8.2nF,C_0603_1608Metric,55.725897,102.451755,0.0,top
C1082,10nF,C_0603_1608Metric,67.765497,102.451755,0.0,top
C1083,15nF,C_0603_1608Metric,79.805097,102.451755,0.0,top
C1084,22nF,C_0603_1608Metric,91.895497,102.451755,0.0,top
C1085,33nF,C_0603_1608Metric,19.530897,93.434755,0.0,top
C1086,47nF,C_0603_1608Metric,31.595897,93.438755,0.0,top
C1087,68nF,C_0603_1608Metric,43.660897,93.438755,0.0,top
C1088,100nF,C_0603_1608Metric,55.725897,93.438755,0.0,top
C1089,220nF,C_0603_1608Metric,67.663897,93.438755,0.0,top
C1090,330nF,C_0603_1608Metric,79.829897,93.434755,0.0,top
C1091,470nF,C_0603_1608Metric,91.793897,93.434755,0.0,top
C1092,1uF,C_0603_1608Metric,19.504897,84.341555,0.0,top
C1093,2.2uF,C_0603_1608Metric,31.582897,84.341555,0.0,top
C1094,4.7uF,C_0603_1608Metric,43.660897,84.341555,0.0,top
C1095,10uF,C_0603_1608Metric,55.725897,84.341555,0.0,top
C1096,10uF,C_0603_1608Metric,67.790897,84.341555,0.0,top
C1097,22uF,C_0603_1608Metric,79.855897,84.341555,0.0,top
C1098,1nF,C_0603_1608Metric,56.030697,110.110955,0.0,top
C1099,1.5nF,C_0603_1608Metric,68.171897,110.110955,0.0,top
C1100,2.2nF,C_0603_1608Metric,80.313097,110.110955,0.0,top
C1101,2.7nF,C_0603_1608Metric,92.454297,110.110955,0.0,top
C1102,3.3nF,C_0603_1608Metric,19.543297,100.978555,0.0,top
C1103,4.7nF,C_0603_1608Metric,31.595897,100.978555,0.0,top
C1104,6.8nF,C_0603_1608Metric,43.686297,100.978555,0.0,top
C1105,8.2nF,C_0603_1608Metric,55.725897,100.978555,0.0,top
C1106,10nF,C_0603_1608Metric,67.765497,100.978555,0.0,top
C1107,15nF,C_0603_1608Metric,79.805097,100.978555,0.0,top
C1108,22nF,C_0603_1608Metric,91.895497,100.978555,0.0,top
C1109,33nF,C_0603_1608Metric,19.530897,91.961555,0.0,top
C1110,47nF,C_0603_1608Metric,31.595897,91.965555,0.0,top
C1111,68nF,C_0603_1608Metric,43.660897,91.965555,0.0,top
C1112,100nF,C_0603_1608Metric,55.725897,91.965555,0.0,top
C1113,220nF,C_0603_1608Metric,67.663897,91.965555,0.0,top
C1114,330nF,C_0603_1608Metric,79.829897,91.961555,0.0,top
C1115,470nF,C_0603_1608Metric,91.793897,91.961555,0.0,top
C1116,1uF,C_0603_1608Metric,19.504897,82.868355,0.0,top
C1117,2.2uF,C_0603_1608Metric,31.582897,82.868355,0.0,top
C1118,4.7uF,C_0603_1608Metric,43.660897,82.868355,0.0,top
C1119,10uF,C_0603_1608Metric,55.725897,82.868355,0.0,top
C1120,10uF,C_0603_1608Metric,67.790897,82.868355,0.0,top
C1121,22uF,C_0603_1608Metric,79.855897,82.868355,0.0,top
C1122,1nF,C_0603_1608Metric,56.030697,108.637755,0.0,top
C1123,1.5nF,C_0603_1608Metric,68.171897,108.637755,0.0,top
C1124,2.2nF,C_0603_1608Metric,80.313097,108.637755,0.0,top
C1125,2.7nF,C_0603_1608Metric,92.454297,108.637755,0.0,top
C1126,3.3nF,C_0603_1608Metric,19.543297,99.505355,0.0,top
C1127,4.7nF,C_0603_1608Metric,31.595897,99.505355,0.0,top
